Sample	TE_Superfamily	Total_bp	Genome_Fraction_pct
Bsorokiniana_ND90Pr	Tad1///////////////277	188636	0.57
Bsorokiniana_ND90Pr	Copia//////////////173	202215	0.61
Bsorokiniana_ND90Pr	Gypsy//////////////1072	1137810	3.43
Bsorokiniana_ND90Pr	CACTA//////////////3	303	0.0
Bsorokiniana_ND90Pr	PILE///////////////1	352	0.0
Bsorokiniana_ND90Pr	Tc1_Mariner////////572	328623	0.99
Bsorokiniana_ND90Pr	helitron///////////226	222476	0.67
Bsorokiniana_ND90Pr	repeat_region//////////972	318534	0.96
Bsorokiniana_ND90Pr	TE_00000000//////1	788	0.0
Bsorokiniana_ND90Pr	TE_00000001//////9	14402	0.04
Bsorokiniana_ND90Pr	TE_00000002//////1	715	0.0
Bsorokiniana_ND90Pr	TE_00000003//////1	7138	0.02
Bsorokiniana_ND90Pr	TE_00000004//////13	13944	0.04
Bsorokiniana_ND90Pr	TE_00000005//////199	179701	0.54
Bsorokiniana_ND90Pr	TE_00000006//////2	5788	0.02
Bsorokiniana_ND90Pr	TE_00000105_INT//////6	813	0.0
Bsorokiniana_ND90Pr	TE_00000163_INT//////1	413	0.0
Bsorokiniana_ND90Pr	TE_00000180_INT//////1	98	0.0
Bsorokiniana_ND90Pr	TE_00000193_INT//////1	175	0.0
Bsorokiniana_ND90Pr	TE_00000210_INT//////1	115	0.0
Bsorokiniana_ND90Pr	TE_00000248_INT//////1	153	0.0
Bsorokiniana_ND90Pr	TE_00000280//////1	194	0.0
Bsorokiniana_ND90Pr	TE_00000556//////2	204	0.0
Bsorokiniana_ND90Pr	TE_00000679_LTR//////2	195	0.0
Bsorokiniana_ND90Pr	TE_00000957//////1	99	0.0
Bsorokiniana_ND90Pr	TE_00001088//////1	352	0.0
Bsorokiniana_ND90Pr	TE_00001151_INT//////1	371	0.0
Bsorokiniana_ND90Pr	TE_00001167_INT//////2	605	0.0
Bsorokiniana_ND90Pr	TE_00001262_INT//////1	78	0.0
Bsorokiniana_ND90Pr	TE_00001272_INT//////1	314	0.0
Bsorokiniana_ND90Pr	TE_00001276_INT//////3	934	0.0
Bsorokiniana_ND90Pr	TE_00001284_INT//////1	95	0.0
Bsorokiniana_ND90Pr	TE_00001296_INT//////2	722	0.0
Bsorokiniana_ND90Pr	TE_00001309_INT//////1	240	0.0
Bsorokiniana_ND90Pr	TE_00001312_INT//////1	314	0.0
Bsorokiniana_ND90Pr	TE_00001320_INT//////2	326	0.0
Bsorokiniana_ND90Pr	TE_00001654//////184	192602	0.58
Bsorokiniana_ND90Pr	TE_00001655//////222	342690	1.03
Bsorokiniana_ND90Pr	TE_00001656//////35	14315	0.04
Bsorokiniana_ND90Pr	TE_00001657//////24	44214	0.13
Bsorokiniana_ND90Pr	TE_00001658//////42	32798	0.1
Bsorokiniana_ND90Pr	TE_00001659//////88	47022	0.14
Bsorokiniana_ND90Pr	TE_00001660//////28	9262	0.03
Bsorokiniana_ND90Pr	TE_00001661//////26	3506	0.01
Bsorokiniana_ND90Pr	TE_00001662//////25	28349	0.09
Bsorokiniana_ND90Pr	TE_00001663//////2	1610	0.0
Bsorokiniana_ND90Pr	TE_00001664//////65	33944	0.1
Bsorokiniana_ND90Pr	TE_00001665//////18	2649	0.01
Bsorokiniana_ND90Pr	TE_00001666//////60	26091	0.08
Bsorokiniana_ND90Pr	TE_00001667//////89	72688	0.22
Bsorokiniana_ND90Pr	TE_00001668//////35	30833	0.09
Bsorokiniana_ND90Pr	TE_00001669//////40	14632	0.04
Bsorokiniana_ND90Pr	TE_00001670//////23	3850	0.01
Bsorokiniana_ND90Pr	TE_00001671//////35	67562	0.2
Bsorokiniana_ND90Pr	TE_00001672//////154	71647	0.22
Bsorokiniana_ND90Pr	TE_00001673//////77	78072	0.24
Bsorokiniana_ND90Pr	TE_00001674//////20	3203	0.01
Bsorokiniana_ND90Pr	TE_00001675//////38	20972	0.06
Bsorokiniana_ND90Pr	TE_00001676//////28	49774	0.15
Bsorokiniana_ND90Pr	TE_00001677//////16	18837	0.06
Bsorokiniana_ND90Pr	TE_00001678//////42	19042	0.06
Bsorokiniana_ND90Pr	TE_00001679//////27	18997	0.06
Bsorokiniana_ND90Pr	TE_00001680//////57	34313	0.1
Bsorokiniana_ND90Pr	TE_00001681//////24	16776	0.05
Bsorokiniana_ND90Pr	TE_00001682//////55	30673	0.09
Bsorokiniana_ND90Pr	TE_00001683//////34	5392	0.02
Bsorokiniana_ND90Pr	TE_00001684//////40	4610	0.01
Bsorokiniana_ND90Pr	TE_00001685//////15	3002	0.01
Bsorokiniana_ND90Pr	TE_00001686//////114	111248	0.33
Bsorokiniana_ND90Pr	TE_00001687//////44	54420	0.16
Bsorokiniana_ND90Pr	TE_00001689//////19	5174	0.02
Bsorokiniana_ND90Pr	TE_00001690//////6	2512	0.01
Bsorokiniana_ND90Pr	TE_00001691//////40	18199	0.05
Bsorokiniana_ND90Pr	TE_00001692//////11	3560	0.01
Bsorokiniana_ND90Pr	TE_00001693//////106	76489	0.23
Bsorokiniana_ND90Pr	TE_00001694//////7	3990	0.01
Bsorokiniana_ND90Pr	TE_00001695//////6	3819	0.01
Bsorokiniana_ND90Pr	TE_00001696//////15	6778	0.02
Bsorokiniana_ND90Pr	TE_00001697//////13	5454	0.02
Bsorokiniana_ND90Pr	TE_00001698//////56	9905	0.03
Bsorokiniana_ND90Pr	TE_00001699//////15	6992	0.02
Bsorokiniana_ND90Pr	TE_00001700//////14	1708	0.01
Bsorokiniana_ND90Pr	TE_00001701//////5	1898	0.01
Bsorokiniana_ND90Pr	TE_00001702//////8	1753	0.01
Bsorokiniana_ND90Pr	TE_00001703//////10	5236	0.02
Bsorokiniana_ND90Pr	TE_00001704//////7	2480	0.01
Bsorokiniana_ND90Pr	TE_00001705//////65	43505	0.13
Bsorokiniana_ND90Pr	TE_00001706//////15	2637	0.01
Bsorokiniana_ND90Pr	TE_00001707//////59	15720	0.05
Bsorokiniana_ND90Pr	TE_00001708//////19	8983	0.03
Bsorokiniana_ND90Pr	TE_00001709//////9	1570	0.0
Bsorokiniana_ND90Pr	TE_00001710//////12	25533	0.08
Bsorokiniana_ND90Pr	TE_00001711//////9	1319	0.0
Bsorokiniana_ND90Pr	TE_00001712//////16	2061	0.01
Bsorokiniana_ND90Pr	TE_00001713//////38	20872	0.06
Bsorokiniana_ND90Pr	TE_00001714//////45	8469	0.03
Bsorokiniana_ND90Pr	TE_00001715//////17	3711	0.01
Bsorokiniana_ND90Pr	TE_00001716//////22	3498	0.01
Bsorokiniana_ND90Pr	TE_00001717//////22	23113	0.07
Bsorokiniana_ND90Pr	TE_00001718//////36	25751	0.08
Bsorokiniana_ND90Pr	TE_00001719//////124	173130	0.52
Bsorokiniana_ND90Pr	TE_00001720//////19	4196	0.01
Bsorokiniana_ND90Pr	TE_00001721//////19	21781	0.07
Bsorokiniana_ND90Pr	TE_00001722//////44	42720	0.13
Bsorokiniana_ND90Pr	TE_00001723//////22	4253	0.01
Bsorokiniana_ND90Pr	TE_00001724//////18	3835	0.01
Bsorokiniana_ND90Pr	TE_00001725//////40	7461	0.02
Bsorokiniana_ND90Pr	TE_00001726//////81	24680	0.07
Bsorokiniana_ND90Pr	TE_00001727//////22	13434	0.04
Bsorokiniana_ND90Pr	TE_00001728//////19	5410	0.02
Bsorokiniana_ND90Pr	TE_00001729//////27	5473	0.02
Bsorokiniana_ND90Pr	TE_00001730//////22	4865	0.01
Bsorokiniana_ND90Pr	TE_00001731//////22	3464	0.01
Bsorokiniana_ND90Pr	TE_00001732//////10	2677	0.01
Bsorokiniana_ND90Pr	3296	2398949	7.22
