Sample	TE_Superfamily	Total_bp	Genome_Fraction_pct
Pnodorum_SN15	Copia//////////////139	369709	1.0
Pnodorum_SN15	Gypsy//////////////194	352732	0.95
Pnodorum_SN15	CACTA//////////////2	206	0.0
Pnodorum_SN15	Tc1_Mariner////////210	222436	0.6
Pnodorum_SN15	helitron///////////109	119113	0.32
Pnodorum_SN15	repeat_region//////////678	1128662	3.05
Pnodorum_SN15	TE_00000000//////1	6198	0.02
Pnodorum_SN15	TE_00000001//////8	14880	0.04
Pnodorum_SN15	TE_00000002//////6	19306	0.05
Pnodorum_SN15	TE_00000003//////2	19774	0.05
Pnodorum_SN15	TE_00000004//////45	21191	0.06
Pnodorum_SN15	TE_00000005//////1	1295	0.0
Pnodorum_SN15	TE_00000006//////26	11958	0.03
Pnodorum_SN15	TE_00000007//////2	3944	0.01
Pnodorum_SN15	TE_00000008//////2	9437	0.03
Pnodorum_SN15	TE_00000009//////16	11130	0.03
Pnodorum_SN15	TE_00000138_INT//////1	141	0.0
Pnodorum_SN15	TE_00000593//////2	206	0.0
Pnodorum_SN15	TE_00001742//////55	118115	0.32
Pnodorum_SN15	TE_00001743//////25	11915	0.03
Pnodorum_SN15	TE_00001744//////109	121836	0.33
Pnodorum_SN15	TE_00001745//////31	44873	0.12
Pnodorum_SN15	TE_00001746//////40	100631	0.27
Pnodorum_SN15	TE_00001747//////26	46413	0.13
Pnodorum_SN15	TE_00001748//////5	13318	0.04
Pnodorum_SN15	TE_00001749//////19	8216	0.02
Pnodorum_SN15	TE_00001750//////32	37599	0.1
Pnodorum_SN15	TE_00001751//////19	5709	0.02
Pnodorum_SN15	TE_00001752//////28	3066	0.01
Pnodorum_SN15	TE_00001753//////25	32301	0.09
Pnodorum_SN15	TE_00001754//////5	10590	0.03
Pnodorum_SN15	TE_00001755//////28	8301	0.02
Pnodorum_SN15	TE_00001756//////14	3272	0.01
Pnodorum_SN15	TE_00001757//////44	30700	0.08
Pnodorum_SN15	TE_00001758//////5	18505	0.05
Pnodorum_SN15	TE_00001759//////131	25826	0.07
Pnodorum_SN15	TE_00001760//////66	45064	0.12
Pnodorum_SN15	TE_00001761//////13	51061	0.14
Pnodorum_SN15	TE_00001762//////36	54502	0.15
Pnodorum_SN15	TE_00001763//////13	2409	0.01
Pnodorum_SN15	TE_00001764//////61	210205	0.57
Pnodorum_SN15	TE_00001766//////60	71852	0.19
Pnodorum_SN15	TE_00001767//////25	14635	0.04
Pnodorum_SN15	TE_00001768//////62	97800	0.26
Pnodorum_SN15	TE_00001769//////10	8508	0.02
Pnodorum_SN15	TE_00001771//////56	403918	1.09
Pnodorum_SN15	TE_00001772//////50	300346	0.81
Pnodorum_SN15	TE_00001773//////54	121429	0.33
Pnodorum_SN15	TE_00001774//////13	2047	0.01
Pnodorum_SN15	TE_00001775//////37	6937	0.02
Pnodorum_SN15	TE_00001776//////1	251	0.0
Pnodorum_SN15	TE_00001777//////22	41248	0.11
Pnodorum_SN15	1332	2192858	5.92
