Sample	TE_Superfamily	Total_bp	Genome_Fraction_pct
Ptritici_repentis_Pt1CBF	DNA_transposon/////////130	238799	0.64
Ptritici_repentis_Pt1CBF	Tad1///////////////391	406843	1.09
Ptritici_repentis_Pt1CBF	Copia//////////////1594	1561439	4.18
Ptritici_repentis_Pt1CBF	Gypsy//////////////509	628416	1.68
Ptritici_repentis_Pt1CBF	CACTA//////////////4	462	0.0
Ptritici_repentis_Pt1CBF	Tc1_Mariner////////863	809137	2.17
Ptritici_repentis_Pt1CBF	hAT////////////////81	77769	0.21
Ptritici_repentis_Pt1CBF	helitron///////////1059	281513	0.75
Ptritici_repentis_Pt1CBF	repeat_region//////////2334	1349174	3.61
Ptritici_repentis_Pt1CBF	TE_00000000//////436	84749	0.23
Ptritici_repentis_Pt1CBF	TE_00000001//////220	48097	0.13
Ptritici_repentis_Pt1CBF	TE_00000002//////128	24950	0.07
Ptritici_repentis_Pt1CBF	TE_00000003//////1	7282	0.02
Ptritici_repentis_Pt1CBF	TE_00000004//////1	2211	0.01
Ptritici_repentis_Pt1CBF	TE_00000005//////43	13896	0.04
Ptritici_repentis_Pt1CBF	TE_00000006//////56	16792	0.04
Ptritici_repentis_Pt1CBF	TE_00000007//////2	14169	0.04
Ptritici_repentis_Pt1CBF	TE_00000008//////115	29295	0.08
Ptritici_repentis_Pt1CBF	TE_00000009//////5	19361	0.05
Ptritici_repentis_Pt1CBF	TE_00000010//////52	20711	0.06
Ptritici_repentis_Pt1CBF	TE_00000074_INT//////2	654	0.0
Ptritici_repentis_Pt1CBF	TE_00000111_INT//////1	294	0.0
Ptritici_repentis_Pt1CBF	TE_00000185_INT//////8	3304	0.01
Ptritici_repentis_Pt1CBF	TE_00000286//////1	351	0.0
Ptritici_repentis_Pt1CBF	TE_00000413_INT//////1	193	0.0
Ptritici_repentis_Pt1CBF	TE_00000500_INT//////1	100	0.0
Ptritici_repentis_Pt1CBF	TE_00000558//////3	357	0.0
Ptritici_repentis_Pt1CBF	TE_00000671_INT//////1	236	0.0
Ptritici_repentis_Pt1CBF	TE_00000692_INT//////26	9234	0.02
Ptritici_repentis_Pt1CBF	TE_00000786_INT//////11	4228	0.01
Ptritici_repentis_Pt1CBF	TE_00000963//////1	105	0.0
Ptritici_repentis_Pt1CBF	TE_00001141_INT//////1	470	0.0
Ptritici_repentis_Pt1CBF	TE_00001152_INT//////3	583	0.0
Ptritici_repentis_Pt1CBF	TE_00001153_INT//////3	1111	0.0
Ptritici_repentis_Pt1CBF	TE_00001162_INT//////1	428	0.0
Ptritici_repentis_Pt1CBF	TE_00001290_INT//////1	259	0.0
Ptritici_repentis_Pt1CBF	TE_00001297_INT//////10	4665	0.01
Ptritici_repentis_Pt1CBF	TE_00001331_INT//////2	269	0.0
Ptritici_repentis_Pt1CBF	TE_00001661//////3	580	0.0
Ptritici_repentis_Pt1CBF	TE_00001662//////40	17731	0.05
Ptritici_repentis_Pt1CBF	TE_00001663//////27	43101	0.12
Ptritici_repentis_Pt1CBF	TE_00001664//////192	196938	0.53
Ptritici_repentis_Pt1CBF	TE_00001665//////13	5091	0.01
Ptritici_repentis_Pt1CBF	TE_00001666//////18	23135	0.06
Ptritici_repentis_Pt1CBF	TE_00001667//////23	6876	0.02
Ptritici_repentis_Pt1CBF	TE_00001668//////72	53035	0.14
Ptritici_repentis_Pt1CBF	TE_00001669//////143	162361	0.43
Ptritici_repentis_Pt1CBF	TE_00001670//////47	18688	0.05
Ptritici_repentis_Pt1CBF	TE_00001671//////58	26585	0.07
Ptritici_repentis_Pt1CBF	TE_00001673//////37	5654	0.02
Ptritici_repentis_Pt1CBF	TE_00001674//////43	7405	0.02
Ptritici_repentis_Pt1CBF	TE_00001675//////8	11416	0.03
Ptritici_repentis_Pt1CBF	TE_00001676//////26	4928	0.01
Ptritici_repentis_Pt1CBF	TE_00001677//////76	54913	0.15
Ptritici_repentis_Pt1CBF	TE_00001678//////97	20432	0.05
Ptritici_repentis_Pt1CBF	TE_00001679//////31	5652	0.02
Ptritici_repentis_Pt1CBF	TE_00001680//////25	6311	0.02
Ptritici_repentis_Pt1CBF	TE_00001681//////129	69608	0.19
Ptritici_repentis_Pt1CBF	TE_00001682//////26	3763	0.01
Ptritici_repentis_Pt1CBF	TE_00001683//////20	22206	0.06
Ptritici_repentis_Pt1CBF	TE_00001684//////11	16216	0.04
Ptritici_repentis_Pt1CBF	TE_00001685//////119	100513	0.27
Ptritici_repentis_Pt1CBF	TE_00001686//////88	73497	0.2
Ptritici_repentis_Pt1CBF	TE_00001687//////22	25190	0.07
Ptritici_repentis_Pt1CBF	TE_00001688//////25	9222	0.02
Ptritici_repentis_Pt1CBF	TE_00001689//////25	5648	0.02
Ptritici_repentis_Pt1CBF	TE_00001690//////29	64237	0.17
Ptritici_repentis_Pt1CBF	TE_00001691//////81	77769	0.21
Ptritici_repentis_Pt1CBF	TE_00001692//////34	19275	0.05
Ptritici_repentis_Pt1CBF	TE_00001693//////27	15277	0.04
Ptritici_repentis_Pt1CBF	TE_00001694//////27	4515	0.01
Ptritici_repentis_Pt1CBF	TE_00001695//////20	6877	0.02
Ptritici_repentis_Pt1CBF	TE_00001696//////63	61049	0.16
Ptritici_repentis_Pt1CBF	TE_00001697//////59	68815	0.18
Ptritici_repentis_Pt1CBF	TE_00001698//////15	2243	0.01
Ptritici_repentis_Pt1CBF	TE_00001699//////18	3231	0.01
Ptritici_repentis_Pt1CBF	TE_00001700//////20	2311	0.01
Ptritici_repentis_Pt1CBF	TE_00001701//////18	3093	0.01
Ptritici_repentis_Pt1CBF	TE_00001702//////15	2808	0.01
Ptritici_repentis_Pt1CBF	TE_00001703//////12	9685	0.03
Ptritici_repentis_Pt1CBF	TE_00001704//////29	35726	0.1
Ptritici_repentis_Pt1CBF	TE_00001705//////12	11489	0.03
Ptritici_repentis_Pt1CBF	TE_00001706//////27	20224	0.05
Ptritici_repentis_Pt1CBF	TE_00001707//////126	107565	0.29
Ptritici_repentis_Pt1CBF	TE_00001708//////49	59450	0.16
Ptritici_repentis_Pt1CBF	TE_00001709//////33	3568	0.01
Ptritici_repentis_Pt1CBF	TE_00001710//////22	8441	0.02
Ptritici_repentis_Pt1CBF	TE_00001711//////140	242089	0.65
Ptritici_repentis_Pt1CBF	TE_00001712//////303	32353	0.09
Ptritici_repentis_Pt1CBF	TE_00001713//////17	12351	0.03
Ptritici_repentis_Pt1CBF	TE_00001714//////14	2462	0.01
Ptritici_repentis_Pt1CBF	TE_00001715//////25	5495	0.01
Ptritici_repentis_Pt1CBF	TE_00001716//////132	51147	0.14
Ptritici_repentis_Pt1CBF	TE_00001717//////21	5586	0.01
Ptritici_repentis_Pt1CBF	TE_00001718//////13	25254	0.07
Ptritici_repentis_Pt1CBF	TE_00001719//////12	3354	0.01
Ptritici_repentis_Pt1CBF	TE_00001720//////8	6585	0.02
Ptritici_repentis_Pt1CBF	TE_00001721//////20	29475	0.08
Ptritici_repentis_Pt1CBF	TE_00001722//////12	2500	0.01
Ptritici_repentis_Pt1CBF	TE_00001723//////130	238799	0.64
Ptritici_repentis_Pt1CBF	TE_00001724//////8	5678	0.02
Ptritici_repentis_Pt1CBF	TE_00001725//////9	11532	0.03
Ptritici_repentis_Pt1CBF	TE_00001726//////11	3043	0.01
Ptritici_repentis_Pt1CBF	TE_00001727//////21	13140	0.04
Ptritici_repentis_Pt1CBF	TE_00001728//////70	61423	0.16
Ptritici_repentis_Pt1CBF	TE_00001729//////23	2803	0.01
Ptritici_repentis_Pt1CBF	TE_00001730//////16	39574	0.11
Ptritici_repentis_Pt1CBF	TE_00001731//////11	2254	0.01
Ptritici_repentis_Pt1CBF	TE_00001732//////10	3019	0.01
Ptritici_repentis_Pt1CBF	TE_00001733//////174	214913	0.58
Ptritici_repentis_Pt1CBF	TE_00001734//////17	2336	0.01
Ptritici_repentis_Pt1CBF	TE_00001735//////9	1660	0.0
Ptritici_repentis_Pt1CBF	TE_00001736//////21	8842	0.02
Ptritici_repentis_Pt1CBF	TE_00001737//////8	2305	0.01
