sample	busco_complete	busco_single	busco_duplicated	busco_fragmented	busco_missing	busco_n_orthologs	1332	3296	6965	CACTA//////////////2	CACTA//////////////3	CACTA//////////////4	Copia//////////////139	Copia//////////////1594	Copia//////////////173	DNA_transposon/////////130	Gypsy//////////////1072	Gypsy//////////////194	Gypsy//////////////509	PILE///////////////1	TE_00000000//////1	TE_00000000//////436	TE_00000001//////220	TE_00000001//////8	TE_00000001//////9	TE_00000002//////1	TE_00000002//////128	TE_00000002//////6	TE_00000003//////1	TE_00000003//////2	TE_00000004//////1	TE_00000004//////13	TE_00000004//////45	TE_00000005//////1	TE_00000005//////199	TE_00000005//////43	TE_00000006//////2	TE_00000006//////26	TE_00000006//////56	TE_00000007//////2	TE_00000008//////115	TE_00000008//////2	TE_00000009//////16	TE_00000009//////5	TE_00000010//////52	TE_00000074_INT//////2	TE_00000105_INT//////6	TE_00000111_INT//////1	TE_00000138_INT//////1	TE_00000163_INT//////1	TE_00000180_INT//////1	TE_00000185_INT//////8	TE_00000193_INT//////1	TE_00000210_INT//////1	TE_00000248_INT//////1	TE_00000280//////1	TE_00000286//////1	TE_00000413_INT//////1	TE_00000500_INT//////1	TE_00000556//////2	TE_00000558//////3	TE_00000593//////2	TE_00000671_INT//////1	TE_00000679_LTR//////2	TE_00000692_INT//////26	TE_00000786_INT//////11	TE_00000957//////1	TE_00000963//////1	TE_00001088//////1	TE_00001141_INT//////1	TE_00001151_INT//////1	TE_00001152_INT//////3	TE_00001153_INT//////3	TE_00001162_INT//////1	TE_00001167_INT//////2	TE_00001262_INT//////1	TE_00001272_INT//////1	TE_00001276_INT//////3	TE_00001284_INT//////1	TE_00001290_INT//////1	TE_00001296_INT//////2	TE_00001297_INT//////10	TE_00001309_INT//////1	TE_00001312_INT//////1	TE_00001320_INT//////2	TE_00001331_INT//////2	TE_00001654//////184	TE_00001655//////222	TE_00001656//////35	TE_00001657//////24	TE_00001658//////42	TE_00001659//////88	TE_00001660//////28	TE_00001661//////26	TE_00001661//////3	TE_00001662//////25	TE_00001662//////40	TE_00001663//////2	TE_00001663//////27	TE_00001664//////192	TE_00001664//////65	TE_00001665//////13	TE_00001665//////18	TE_00001666//////18	TE_00001666//////60	TE_00001667//////23	TE_00001667//////89	TE_00001668//////35	TE_00001668//////72	TE_00001669//////143	TE_00001669//////40	TE_00001670//////23	TE_00001670//////47	TE_00001671//////35	TE_00001671//////58	TE_00001672//////154	TE_00001673//////37	TE_00001673//////77	TE_00001674//////20	TE_00001674//////43	TE_00001675//////38	TE_00001675//////8	TE_00001676//////26	TE_00001676//////28	TE_00001677//////16	TE_00001677//////76	TE_00001678//////42	TE_00001678//////97	TE_00001679//////27	TE_00001679//////31	TE_00001680//////25	TE_00001680//////57	TE_00001681//////129	TE_00001681//////24	TE_00001682//////26	TE_00001682//////55	TE_00001683//////20	TE_00001683//////34	TE_00001684//////11	TE_00001684//////40	TE_00001685//////119	TE_00001685//////15	TE_00001686//////114	TE_00001686//////88	TE_00001687//////22	TE_00001687//////44	TE_00001688//////25	TE_00001689//////19	TE_00001689//////25	TE_00001690//////29	TE_00001690//////6	TE_00001691//////40	TE_00001691//////81	TE_00001692//////11	TE_00001692//////34	TE_00001693//////106	TE_00001693//////27	TE_00001694//////27	TE_00001694//////7	TE_00001695//////20	TE_00001695//////6	TE_00001696//////15	TE_00001696//////63	TE_00001697//////13	TE_00001697//////59	TE_00001698//////15	TE_00001698//////56	TE_00001699//////15	TE_00001699//////18	TE_00001700//////14	TE_00001700//////20	TE_00001701//////18	TE_00001701//////5	TE_00001702//////15	TE_00001702//////8	TE_00001703//////10	TE_00001703//////12	TE_00001704//////29	TE_00001704//////7	TE_00001705//////12	TE_00001705//////65	TE_00001706//////15	TE_00001706//////27	TE_00001707//////126	TE_00001707//////59	TE_00001708//////19	TE_00001708//////49	TE_00001709//////33	TE_00001709//////9	TE_00001710//////12	TE_00001710//////22	TE_00001711//////140	TE_00001711//////9	TE_00001712//////16	TE_00001712//////303	TE_00001713//////17	TE_00001713//////38	TE_00001714//////14	TE_00001714//////45	TE_00001715//////17	TE_00001715//////25	TE_00001716//////132	TE_00001716//////22	TE_00001717//////21	TE_00001717//////22	TE_00001718//////13	TE_00001718//////36	TE_00001719//////12	TE_00001719//////124	TE_00001720//////19	TE_00001720//////8	TE_00001721//////19	TE_00001721//////20	TE_00001722//////12	TE_00001722//////44	TE_00001723//////130	TE_00001723//////22	TE_00001724//////18	TE_00001724//////8	TE_00001725//////40	TE_00001725//////9	TE_00001726//////11	TE_00001726//////81	TE_00001727//////21	TE_00001727//////22	TE_00001728//////19	TE_00001728//////70	TE_00001729//////23	TE_00001729//////27	TE_00001730//////16	TE_00001730//////22	TE_00001731//////11	TE_00001731//////22	TE_00001732//////10	TE_00001733//////174	TE_00001734//////17	TE_00001735//////9	TE_00001736//////21	TE_00001737//////8	TE_00001738//////7	TE_00001739//////7	TE_00001740//////54	TE_00001741//////33	TE_00001742//////55	TE_00001742//////84	TE_00001743//////25	TE_00001743//////95	TE_00001744//////109	TE_00001744//////96	TE_00001745//////2	TE_00001745//////31	TE_00001746//////40	TE_00001746//////56	TE_00001747//////26	TE_00001747//////66	TE_00001748//////5	TE_00001748//////87	TE_00001749//////19	TE_00001749//////71	TE_00001750//////32	TE_00001750//////36	TE_00001751//////19	TE_00001751//////85	TE_00001752//////23	TE_00001752//////28	TE_00001753//////25	TE_00001753//////43	TE_00001754//////5	TE_00001754//////97	TE_00001755//////28	TE_00001755//////89	TE_00001756//////14	TE_00001756//////42	TE_00001757//////44	TE_00001757//////85	TE_00001758//////5	TE_00001758//////74	TE_00001759//////131	TE_00001759//////61	TE_00001760//////58	TE_00001760//////66	TE_00001761//////13	TE_00001761//////45	TE_00001762//////36	TE_00001762//////62	TE_00001763//////13	TE_00001763//////25	TE_00001764//////61	TE_00001764//////76	TE_00001765//////85	TE_00001766//////31	TE_00001766//////60	TE_00001767//////141	TE_00001767//////25	TE_00001768//////23	TE_00001768//////62	TE_00001769//////10	TE_00001769//////17	TE_00001770//////16	TE_00001771//////56	TE_00001771//////85	TE_00001772//////12	TE_00001772//////50	TE_00001773//////31	TE_00001773//////54	TE_00001774//////13	TE_00001774//////55	TE_00001775//////37	TE_00001775//////52	TE_00001776//////1	TE_00001776//////40	TE_00001777//////19	TE_00001777//////22	TE_00001778//////13	TE_00001779//////12	TE_00001780//////10	TE_00001781//////23	TE_00001782//////87	TE_00001783//////40	TE_00001784//////43	Tad1///////////////277	Tad1///////////////391	Tc1_Mariner////////210	Tc1_Mariner////////572	Tc1_Mariner////////863	hAT////////////////81	helitron///////////1059	helitron///////////109	helitron///////////226	repeat_region//////////2334	repeat_region//////////678	repeat_region//////////972	toxa_present	toxa_n_hits	toxa_best_contig	toxa_pct_identity	toxa_evalue	toxa_bitscore	yrec_present	yrec_copy_count
Bsorokiniana_ND90Pr	98.4	98.4	0.0	0.4	1.2	758		7.22			0.0				0.61		3.43			0.0	0.0				0.04	0.0			0.02			0.04			0.54		0.02										0.0			0.0	0.0		0.0	0.0	0.0	0.0				0.0				0.0			0.0		0.0		0.0				0.0	0.0	0.0	0.0	0.0		0.0		0.0	0.0	0.0		0.58	1.03	0.04	0.13	0.1	0.14	0.03	0.01		0.09		0.0			0.1		0.01		0.08		0.22	0.09			0.04	0.01		0.2		0.22		0.24	0.01		0.06			0.15	0.06		0.06		0.06			0.1		0.05		0.09		0.02		0.01		0.01	0.33			0.16		0.02			0.01	0.05		0.01		0.23			0.01		0.01	0.02		0.02			0.03	0.02		0.01			0.01		0.01	0.02			0.01		0.13	0.01			0.05	0.03			0.0	0.08			0.0	0.01			0.06		0.03	0.01			0.01		0.07		0.08		0.52	0.01		0.07			0.13		0.01	0.01		0.02			0.07		0.04	0.02			0.02		0.01		0.01	0.01																																																																																							0.57			0.99					0.67			0.96	False	0					False	0
Pnodorum_SN15	96.7	96.7	0.0	1.5	1.8	758	5.92			0.0			1.0					0.95			0.02			0.04				0.05		0.05			0.06	0.0				0.03		0.01		0.03	0.03						0.0													0.0																																																																																																																																																																																						0.32		0.03		0.33			0.12	0.27		0.13		0.04		0.02		0.1		0.02			0.01	0.09		0.03		0.02		0.01		0.08		0.05		0.07			0.12	0.14		0.15		0.01		0.57				0.19		0.04		0.26	0.02			1.09			0.81		0.33	0.01		0.02		0.0			0.11										0.6					0.32			3.05		True	4	gb|CH445377.1|	99.259	2.1e-83	242.0	False	0
Ptritici_repentis_Pt1CBF	98.1	97.8	0.3	0.5	1.4	758			14.33			0.0		4.18		0.64			1.68			0.23	0.13				0.07		0.02		0.01					0.04			0.04	0.04	0.08			0.05	0.06	0.0		0.0				0.01					0.0	0.0	0.0		0.0		0.0		0.02	0.01		0.0		0.0		0.0	0.0	0.0						0.0		0.01				0.0									0.0		0.05		0.12	0.53		0.01		0.06		0.02			0.14	0.43			0.05		0.07		0.02			0.02		0.03	0.01			0.15		0.05		0.02	0.02		0.19		0.01		0.06		0.04		0.27			0.2	0.07		0.02		0.02	0.17			0.21		0.05		0.04	0.01		0.02			0.16		0.18	0.01			0.01		0.01	0.01		0.01			0.03	0.1		0.03			0.05	0.29			0.16	0.01			0.02	0.65			0.09	0.03		0.01			0.01	0.14		0.01		0.07		0.01			0.02		0.08	0.01		0.64			0.02		0.03	0.01		0.04			0.16	0.01		0.11		0.01		0.01	0.58	0.01	0.0	0.02	0.01	0.0	0.02	0.17	0.02		0.31		0.15		0.36	0.01			0.12		0.19		0.4		0.38		0.09		0.03	0.03			0.05		0.27		0.04		0.28		0.08		0.44		0.16	0.22			0.03		0.29		0.06		0.23	0.03	0.01		0.68		0.01			0.01	0.0		0.3	0.0		0.01			0.39		0.04		0.02	0.01		0.0	0.0	0.01	0.01	0.13	0.11	0.34		1.09			2.17	0.21	0.75			3.61			True	4	gb|DS231618.1|	99.259	6.63e-86	242.0	False	0
